model,roc_auc,accuracy,precision,recall,f1
LightGBM_AutoML_Tuned,0.7946541970727286,0.7586666211277707,0.6413160733549083,0.4129428108358416,0.5023943661971831
XGBoost_AutoML_Tuned,0.7896375074441819,0.7565490624679805,0.628009494743981,0.42880296364899284,0.5096312603192075
LightGBM_Default,0.7881616802458289,0.755695208169678,0.6329930145083289,0.40912248205603147,0.49701146192250895
XGBoost_Default,0.7843172428101661,0.7538508828853444,0.6264804666784515,0.41028015744385277,0.4958377054914306
RandomForest_Entropy,0.7746245227582627,0.7528604118993135,0.6054769786337647,0.465848576059273,0.526563726773096
RandomForest_Gini,0.7742050680415983,0.7535776495098876,0.6070729872084274,0.46700625144709423,0.5279068245763266
ExtraTrees,0.7548321772264897,0.7416236893336521,0.5654667480170836,0.5364667747163695,0.5505851601021803
LogisticRegression,0.7357545830927749,0.708972300966563,0.5056050589249784,0.6109053021532762,0.5532896461336828
